Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-08-03 23:50:13,2024-08-04 23:57:39,UTC+01:00,2024-08-03 23:50:13,2024-08-04 09:40:27,100,13.6,563,590,317,97,149,27,482,0,95,63,false
2024-08-02 19:08:56,2024-08-03 23:50:13,UTC+01:00,2024-08-02 19:08:56,2024-08-03 09:38:28,100,14.5,635,869,275,187,173,234,522,57,73,36,false
2024-08-01 23:34:41,2024-08-02 19:08:56,UTC+01:00,2024-08-01 23:34:41,2024-08-02 08:04:40,80,13.9,452,509,206,96,150,57,567,60,92,73,false
2024-08-01 00:03:20,2024-08-01 23:34:41,UTC+01:00,2024-08-01 00:03:20,2024-08-01 06:46:09,76,13.7,385,402,176,79,130,17,506,27,96,73,false
2024-07-31 00:28:48,2024-08-01 00:03:20,UTC+01:00,2024-07-31 00:28:48,2024-07-31 07:41:43,91,14.4,415,431,196,95,124,16,459,0,96,79,false
2024-07-30 00:23:28,2024-07-31 00:28:48,UTC+01:00,2024-07-30 00:23:28,2024-07-30 08:59:43,100,13.5,505,514,201,146,158,9,471,0,98,72,false
2024-07-29 02:22:03,2024-07-30 00:23:28,UTC+01:00,2024-07-29 02:22:03,2024-07-29 09:25:59,100,13.5,396,423,187,108,101,27,389,19,94,48,false
2024-07-28 00:15:41,2024-07-29 02:22:03,UTC+01:00,2024-07-28 16:56:46,2024-07-28 18:40:06,18,13.6,85,101,46,15,24,16,474,19,95,,true
2024-07-28 00:15:41,2024-07-29 02:22:03,UTC+01:00,2024-07-28 00:15:41,2024-07-28 08:36:34,94,14.1,473,500,256,84,133,27,503,35,95,80,false
2024-07-27 00:19:27,2024-07-28 00:15:41,UTC+01:00,2024-07-27 00:19:27,2024-07-27 08:06:40,86,13.8,439,463,195,99,145,24,510,46,96,76,false
